frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active,turn_feas_active,turn_feas_infeasible,turn_feas_margin_g,turn_feas_speed_delta_mps
348,20.604,1.000000,0.000000,3.350273,1.738758,4.602204,0.000318,1.0,0,0,0,1,0,0.234349,0.000000
349,20.637,1.000000,0.000000,3.908269,1.735508,5.140593,0.000032,1.0,0,0,0,1,0,0.234418,0.000000
350,20.670,1.000000,0.000000,4.498303,1.732209,5.675682,0.000003,1.0,0,0,0,1,0,0.234356,0.000000
351,20.704,1.000000,0.000000,5.049281,1.728908,6.207470,0.000000,1.0,0,0,0,1,0,0.234293,0.000000
352,20.770,1.000000,0.000000,5.608381,2.247630,7.257980,0.000000,1.0,0,0,0,1,0,0.234318,0.000000
353,20.804,1.000000,0.000000,6.714587,1.719075,7.779935,0.000000,1.0,0,0,0,1,0,0.234151,0.000000
354,20.837,1.000000,0.000000,7.261634,1.715798,8.298614,0.000000,1.0,0,0,0,1,0,0.234162,0.000000
355,20.904,1.000000,0.000000,7.793988,2.221387,9.322880,0.000000,1.0,0,0,0,1,0,0.233915,0.000000
356,20.937,1.000000,0.000000,8.909222,1.705958,9.831718,0.000000,1.0,0,0,0,1,0,0.233809,0.000000
357,21.004,1.000000,0.000000,9.407876,2.201677,10.836275,0.000000,1.0,0,0,0,1,0,0.233798,0.000000
358,21.037,1.000000,0.000000,10.530539,1.696148,11.335303,0.000000,1.0,0,0,0,1,0,0.233855,0.000000
359,21.104,1.000000,0.000000,11.015837,2.181997,12.320180,0.000000,1.0,0,0,0,1,0,0.233643,0.000000
360,21.137,1.000000,0.000000,11.992297,1.686306,12.809367,0.000000,1.0,0,0,0,1,0,0.233791,0.000000
361,21.204,1.000000,0.000000,12.480692,2.162319,13.774566,0.000000,1.0,0,0,0,1,0,0.233416,0.000000
362,21.270,1.000000,0.000000,13.682854,0.000000,13.274566,0.000000,1.0,0,0,0,1,0,0.233375,0.000000
363,21.304,1.000000,0.000000,13.479564,0.000000,12.774566,0.000000,1.0,0,0,0,1,0,0.231941,0.000000
364,21.337,1.000000,0.000000,12.851506,0.000000,12.274566,0.000000,1.0,0,0,0,1,0,0.233003,0.000000
365,21.404,1.000000,0.000000,12.370304,0.000000,11.774566,0.000000,1.0,0,0,0,1,0,0.233006,0.000000
366,21.437,1.000000,0.000000,12.046611,0.000000,11.274566,0.000000,1.0,0,0,0,1,0,0.232893,0.000000
367,21.504,1.000000,0.000000,11.370563,0.000000,10.774566,0.000000,1.0,0,0,0,1,0,0.232783,0.000000
368,21.537,1.000000,0.000000,11.046994,0.000000,10.274566,0.000000,1.0,0,0,0,1,0,0.232691,0.000000
369,21.570,1.000000,0.000000,10.547525,0.000000,9.774566,0.000000,1.0,0,0,0,1,0,0.232677,0.000000
370,21.637,1.000000,0.000000,10.048061,0.000000,9.274566,0.000000,1.0,0,0,0,1,0,0.232779,0.000000
371,21.670,1.000000,0.000000,9.513968,0.000000,8.774566,0.000000,1.0,0,0,0,1,0,0.232844,0.000000
372,21.920,1.000000,0.000000,9.014223,0.000000,8.274566,0.000000,1.0,0,0,0,1,0,0.232907,0.000000
373,21.953,1.000000,0.000000,7.349704,0.000000,7.774565,0.000000,1.0,0,0,0,1,0,0.233241,0.000000
374,21.986,1.000000,0.000000,8.049735,0.000000,7.274565,0.000000,1.0,0,0,0,1,0,0.233150,0.000000
375,22.020,1.000000,0.000000,7.544385,0.000000,6.774565,0.000000,1.0,0,0,0,1,0,0.231356,0.000000
376,22.053,1.000000,0.000000,7.009849,0.000000,6.274565,0.000000,1.0,0,0,0,1,0,0.231849,0.000000
377,22.086,1.000000,0.000000,6.512342,0.000000,5.774565,0.000000,1.0,0,0,0,1,0,0.232675,0.000000
378,22.120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
379,22.153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
380,22.220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
381,22.253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
382,22.286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
383,22.320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
384,22.353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
385,22.420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
386,22.453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
387,22.486,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
388,22.520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
389,22.753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
390,22.786,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
391,22.853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
392,22.886,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
393,22.920,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
394,22.953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
395,22.986,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
396,23.053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
397,23.086,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
398,23.120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
399,23.153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
400,23.186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
401,23.220,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
402,23.253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
403,23.286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
404,23.320,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
405,23.386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
406,23.420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
407,23.653,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
408,23.686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,0,0,0.000000,0.000000
