frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active
176,11.961,0.072200,0.549985,0.193297,0.356249,0.000000,0.000440,1.0,1,0,0
177,11.994,0.102479,0.410017,0.026298,0.383272,0.000000,0.000446,1.0,1,0,0
178,12.228,0.170251,0.423640,0.000000,0.419184,0.000000,0.004456,2.0,1,0,0
179,12.261,0.155723,0.525669,0.000000,0.524554,0.000000,0.001115,2.0,1,0,0
180,12.294,0.163073,0.535585,0.000000,0.534763,0.000000,0.000822,2.0,1,0,0
181,12.361,0.178304,0.550411,0.000000,0.548735,0.000000,0.001675,2.0,1,0,0
182,12.394,0.238378,0.410117,0.055709,0.353417,0.000000,0.000992,1.0,1,0,0
183,12.428,0.213417,0.504828,0.111691,0.392181,0.000000,0.000957,1.0,1,0,0
184,12.461,0.230307,0.487419,0.101002,0.385431,0.000000,0.000986,1.0,1,0,0
185,12.494,0.244821,0.478132,0.085986,0.391129,0.000000,0.001018,1.0,0,1,0
186,12.561,0.274486,0.458505,0.068834,0.387619,0.000000,0.002051,1.0,0,1,0
187,12.594,0.320366,0.389854,0.421302,0.337236,0.000000,0.001145,1.0,0,1,0
188,12.628,0.318080,0.414974,0.107021,0.306865,0.000000,0.001088,1.0,0,1,0
189,12.661,0.367748,0.349916,0.000000,0.348809,0.000000,0.001107,2.0,0,1,0
190,12.694,0.348662,0.399320,0.000000,0.398183,0.000000,0.001136,2.0,0,1,0
191,12.728,0.359642,0.399303,0.000000,0.398136,0.000000,0.001167,2.0,0,1,0
192,12.794,0.421455,0.336517,0.000000,0.334196,0.000000,0.002320,2.0,0,1,0
193,12.828,0.399457,0.386959,0.028032,0.357566,0.000000,0.001361,1.0,0,1,0
194,12.861,0.416708,0.376548,0.000000,0.375257,0.000000,0.001291,2.0,0,1,0
195,12.894,0.438587,0.359426,0.000600,0.357517,0.000000,0.001309,1.0,0,1,0
196,12.928,0.462096,0.340841,0.000000,0.339506,0.000000,0.001335,2.0,0,1,0
197,12.994,0.500844,0.315447,0.000000,0.312812,0.000000,0.002634,2.0,0,1,0
198,13.028,0.523599,0.300536,0.000000,0.299003,0.000000,0.001533,2.0,0,1,0
199,13.261,0.666637,0.209907,0.000000,0.199968,0.000000,0.009939,2.0,0,1,0
200,13.294,0.702144,0.187256,0.000000,0.184849,0.000000,0.002407,2.0,0,1,0
201,13.328,0.726343,0.171971,0.000000,0.170302,0.000000,0.001669,2.0,0,1,0
202,13.361,0.746093,0.160271,0.000000,0.158660,0.000000,0.001611,2.0,0,1,0
203,13.394,0.769924,0.145091,0.000000,0.143471,0.000000,0.001620,2.0,0,1,0
204,13.461,0.816389,0.115560,0.000000,0.112418,0.000000,0.003142,2.0,0,1,0
205,13.494,0.844006,0.097992,0.000000,0.096173,0.000000,0.001820,2.0,0,1,0
206,13.528,0.868310,0.082734,0.000000,0.081031,0.000000,0.001703,2.0,0,1,0
