frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active,turn_feas_active,turn_feas_infeasible,turn_feas_margin_g,turn_feas_speed_delta_mps
630,36.696,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.233345,0.000000
631,36.729,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.233084,0.000000
632,36.963,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.233153,0.000000
633,36.996,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0,1,0,0.233473,0.000000
634,37.063,1.000000,0.000000,0.000000,0.593321,0.000000,0.041515,2.0,0,0,0,1,0,0.233116,0.000000
635,37.096,1.000000,0.000000,0.002800,0.612199,0.071668,0.017630,1.0,0,0,0,1,0,0.233285,0.000000
636,37.163,1.000000,0.000000,0.011543,1.130467,0.404786,0.001763,1.0,0,0,0,1,0,0.232136,0.000000
637,37.196,1.000000,0.000000,0.002800,0.879212,0.200514,0.000176,1.0,0,0,0,1,0,0.231546,0.000000
638,37.229,1.000000,0.000000,0.019515,0.944606,0.198424,0.000018,1.0,0,0,0,1,0,0.231717,0.000000
639,37.296,1.000000,0.000000,0.000000,1.169811,0.388298,0.000002,2.0,0,0,0,1,0,0.231255,0.000000
640,37.329,1.000000,0.000000,0.000000,0.991618,0.191966,0.000000,2.0,0,0,0,1,0,0.231071,0.000000
641,37.396,1.000000,0.000000,0.011379,1.175478,0.375078,0.000000,1.0,0,0,0,1,0,0.231556,0.000000
642,37.463,1.000000,0.000000,0.024198,1.166456,0.366056,0.000000,1.0,0,0,0,1,0,0.230835,0.000000
643,37.496,1.000000,0.000000,0.072533,1.062923,0.180408,0.000000,1.0,0,0,0,1,0,0.231074,0.000000
644,37.563,1.000000,0.000000,0.048558,1.172230,0.351366,0.000000,1.0,0,0,0,1,0,0.230785,0.000000
645,37.596,1.000000,0.000000,0.106031,1.141431,0.172781,0.000000,1.0,0,0,0,1,0,0.230709,0.000000
