frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active
159,10.993,0.880960,0.004834,0.000000,0.004697,0.000000,0.000136,2.0,0,0,0
160,11.026,0.090947,0.371089,0.316564,0.054375,0.000000,0.000151,1.0,0,0,0
161,11.093,0.136833,0.243568,0.192142,0.051261,0.000000,0.000165,1.0,0,0,0
162,11.159,0.124165,0.283758,0.229438,0.054141,0.000000,0.000180,1.0,0,0,0
163,11.193,0.121041,0.304802,0.253759,0.050849,0.000000,0.000194,1.0,0,0,0
164,11.259,0.113439,0.342715,0.291414,0.051093,0.000000,0.000209,1.0,0,0,0
165,11.326,0.123969,0.324069,0.281869,0.041977,0.000000,0.000223,1.0,0,0,0
166,11.393,0.102408,0.420699,0.378615,0.041847,0.000000,0.000238,1.0,0,0,0
167,11.459,0.095743,0.474761,0.427456,0.047053,0.000000,0.000252,1.0,0,0,0
168,11.526,0.095692,0.497722,0.443097,0.054358,0.000000,0.000267,1.0,0,0,0
169,11.559,0.142299,0.332709,0.134973,0.197455,0.000000,0.000281,1.0,0,0,0
170,11.593,0.099303,0.524804,0.327184,0.197324,0.000000,0.000296,1.0,0,0,0
171,11.693,0.101872,0.534729,0.337225,0.197193,0.000000,0.000310,1.0,0,0,0
172,11.759,0.127776,0.433976,0.305955,0.127696,0.000000,0.000325,1.0,0,0,0
173,11.793,0.127625,0.455437,0.258166,0.196932,0.000000,0.000339,1.0,0,0,0
174,11.859,0.115282,0.535771,0.338616,0.196801,0.000000,0.000354,1.0,0,0,0
175,11.926,0.113801,0.569467,0.372429,0.196671,0.000000,0.000368,1.0,0,0,0
176,11.993,0.121812,0.552046,0.428923,0.122740,0.000000,0.000383,1.0,0,0,0
177,12.059,0.127965,0.546192,0.424511,0.121283,0.000000,0.000397,1.0,0,0,0
178,12.093,0.130974,0.556398,0.359708,0.196279,0.000000,0.000412,1.0,0,0,0
179,12.159,0.136359,0.555416,0.318842,0.236148,0.000000,0.000426,1.0,0,0,0
180,12.193,0.142609,0.551091,0.314633,0.236017,0.000000,0.000441,1.0,0,0,0
181,12.259,0.148928,0.547245,0.310903,0.235887,0.000000,0.000455,1.0,0,0,0
182,12.293,0.180474,0.452989,0.448961,0.203983,0.000000,0.000444,1.0,0,0,0
183,12.359,0.161020,0.541138,0.344796,0.195887,0.000000,0.000456,1.0,0,0,0
184,12.393,0.171999,0.520330,0.324104,0.195756,0.000000,0.000470,1.0,0,0,0
185,12.459,0.175929,0.526717,0.330607,0.195625,0.000000,0.000484,1.0,0,0,0
186,12.526,0.184679,0.516261,0.320267,0.195494,0.000000,0.000499,1.0,0,0,0
187,12.559,0.192576,0.509671,0.313794,0.195364,0.000000,0.000514,1.0,0,0,0
188,12.626,0.200595,0.503376,0.307615,0.195233,0.000000,0.000528,1.0,0,0,0
189,12.659,0.207997,0.499563,0.303918,0.195102,0.000000,0.000543,1.0,0,0,0
190,12.726,0.216162,0.493915,0.298387,0.194972,0.000000,0.000557,1.0,0,0,0
191,12.976,0.224220,0.489072,0.293659,0.194841,0.000000,0.000572,1.0,0,0,0
192,13.043,0.232167,0.484938,0.249641,0.234710,0.000000,0.000586,1.0,0,0,0
193,13.076,0.241656,0.477102,0.303184,0.173317,0.000000,0.000601,1.0,0,0,0
194,13.109,0.250483,0.471496,0.236432,0.234449,0.000000,0.000615,1.0,0,0,0
195,13.143,0.259513,0.465779,0.230831,0.234318,0.000000,0.000630,1.0,0,0,0
196,13.176,0.268725,0.459993,0.225161,0.234188,0.000000,0.000644,1.0,0,0,0
