frame,time_s,transfer_ratio,authority_gap,rate_clip_delta,jerk_clip_delta,hard_clip_delta,smoothing_delta,first_stage,entry_schedule_active,commit_active,entry_assist_active
246,15.933,0.801657,0.148450,0.000000,0.032778,0.115672,0.000000,2.0,0,0,0
247,16.000,0.801657,0.148450,0.000000,0.014651,0.133799,0.000000,2.0,0,0,0
248,16.033,0.801657,0.148450,0.000000,0.003344,0.151795,0.000000,2.0,0,0,0
249,16.100,0.801657,0.148450,0.000000,0.021210,0.169660,0.000000,2.0,0,0,0
250,16.133,0.801657,0.148450,0.000000,0.038944,0.187394,0.000000,2.0,0,0,0
251,16.167,0.801657,0.148450,0.000000,0.056548,0.204998,0.000000,2.0,0,0,0
252,16.233,0.801657,0.148450,0.000000,0.074021,0.222471,0.000000,2.0,0,0,0
253,16.267,0.801657,0.148450,0.000000,0.091363,0.239813,0.000000,2.0,0,0,0
254,16.333,0.801657,0.148450,0.000000,0.108575,0.257025,0.000000,2.0,0,0,0
255,16.400,0.801657,0.148450,0.000000,0.125656,0.274106,0.000000,2.0,0,0,0
256,16.433,0.801657,0.148450,0.000000,0.142606,0.291057,0.000000,2.0,0,0,0
257,16.683,0.801657,0.148450,0.000000,0.159426,0.307876,0.000000,2.0,0,0,0
258,16.750,0.806632,0.143833,0.000000,0.180732,0.324565,0.000000,2.0,0,0,0
259,16.783,0.806979,0.143514,0.000000,0.197610,0.341124,0.000000,2.0,0,0,0
260,16.816,0.807083,0.143418,0.000000,0.214133,0.357551,0.000000,2.0,0,0,0
261,16.850,0.807114,0.143389,0.000000,0.230459,0.373848,0.000000,2.0,0,0,0
262,16.916,0.807124,0.143381,0.000000,0.246634,0.390014,0.000000,2.0,0,0,0
263,16.950,0.807126,0.143378,0.006636,0.256036,0.406050,0.000000,1.0,0,0,0
264,16.983,0.807127,0.143377,0.022673,0.255905,0.421955,0.000000,1.0,0,0,0
265,17.050,0.807127,0.143377,0.038578,0.255774,0.437729,0.000000,1.0,0,0,0
266,17.116,0.801657,0.148450,0.049279,0.255644,0.453373,0.000000,1.0,0,0,0
267,17.150,0.801657,0.148450,0.064923,0.255513,0.468886,0.000000,1.0,0,0,0
268,17.183,0.801657,0.148450,0.080435,0.255382,0.484268,0.000000,1.0,0,0,0
269,17.250,0.801657,0.148450,0.095818,0.255252,0.499519,0.000000,1.0,0,0,0
270,17.283,0.801657,0.148450,0.111069,0.255121,0.514640,0.000000,1.0,0,0,0
271,17.350,0.801657,0.148450,0.126190,0.254990,0.529630,0.000000,1.0,0,0,0
272,17.383,0.801657,0.148450,0.141180,0.254859,0.544490,0.000000,1.0,0,0,0
273,17.450,0.801657,0.148450,0.156040,0.254729,0.559219,0.000000,1.0,0,0,0
274,17.516,0.801657,0.148450,0.170768,0.254598,0.573817,0.000000,1.0,0,0,0
275,17.550,0.801657,0.148450,0.185367,0.254467,0.588284,0.000000,1.0,0,0,0
276,17.783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
277,17.850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
278,17.916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
279,17.950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
280,18.016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
281,18.050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
282,18.116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
283,18.183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
284,18.216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
285,18.250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0,0,0,0
